Company Name,CEO Name,CEO Pay,Median Employee Pay,CEO Pay Ratio,GICS Sector,GICS Sub-Industry
3M Company,Michael F. Roman,18321566,57494,319,Industrials,Industrial Conglomerates
Abbott Laboratories,na,-1,-1,-1,Health Care,Health Care Equipment
AbbVie Inc.,Richard A. Gonzalez,21610598,155885,139,Health Care,Pharmaceuticals
ABIOMED Inc,Michael R. Minogue,16612766,112393,148,Health Care,Health Care Equipment
Accenture plc,na,-1,-1,-1,Information Technology,IT Consulting & Other Services
Activision Blizzard,Robert A. Kotick,30122896,94308,319,Communication Services,Interactive Home Entertainment
Adobe Inc.,Shantanu Narayen,39145631,147115,266,Information Technology,Application Software
Advanced Micro Devices Inc,Lisa T. Su,58534288,96874,604,Information Technology,Semiconductors
Advance Auto Parts,Thomas R. Greco,7691513,19463,395,Consumer Discretionary,Automotive Retail
AES Corp,na,-1,-1,-1,Utilities,Independent Power Producers & Energy Traders
AFLAC Inc,Daniel P. Amos,14108852,56371,250,Financials,Life & Health Insurance
Agilent Technologies Inc,Michael R. McMullen,12520566,70014,179,Health Care,Health Care Equipment
Air Products & Chemicals Inc,Seifi Ghasemi,17031957,61035,279,Materials,Industrial Gases
Akamai Technologies Inc,Tom Leighton,10937601,117276,93,Information Technology,Internet Services & Infrastructure
Alaska Air Group Inc,Bradley D. Tilden,5533320,64528,86,Industrials,Airlines
Albemarle Corp,Luther C. Kissam IV,8521584,77782,110,Materials,Specialty Chemicals
Alexandria Real Estate Equities,na,-1,-1,-1,Real Estate,Office REITs
Alexion Pharmaceuticals,Ludwig Hantson,18947984,237151,80,Health Care,Biotechnology
Align Technology,Joseph M. Hogan,18269139,13756,1328,Health Care,Health Care Supplies
Allegion,D. D. Petratis,7586780,45460,167,Industrials,Building Products
Alliant Energy Corp,John O. Larsen,7765384,138044,56,Utilities,Electric Utilities
Allstate Corp,Thomas J. Wilson,19615696,61860,317,Financials,Property & Casualty Insurance
Alphabet Inc.,Sundar Pichai,280621552,258708,1085,Communication Services,Interactive Media & Services
Altria Group Inc,Howard A. Willard III,15439987,142246,109,Consumer Staples,Tobacco
Amazon.com Inc.,Jeffrey P. Bezos,1681840,28848,58,Consumer Discretionary,Internet & Direct Marketing Retail
Amcor plc,na,-1,-1,-1,Materials,Paper Packaging
Ameren Corp,Warner L. Baxter,9718998,147127,66,Utilities,Multi-Utilities
American Airlines Group,Doug Parker,11571714,61143,189,Industrials,Airlines
American Electric Power,Nicholas K. Akins,14492436,132611,109,Utilities,Electric Utilities
American Express Co,S. J. Squeri,23796002,64803,367,Financials,Consumer Finance
American International Group,Brian Duperreault,19369637,67403,287,Financials,Property & Casualty Insurance
American Tower Corp.,na,-1,-1,-1,Real Estate,Specialized REITs
American Water Works Company Inc,Susan N. Story,4983114,83599,60,Utilities,Water Utilities
Ameriprise Financial,James M. Cracchiolo,106428,14242,7,Financials,Asset Management & Custody Banks
AmerisourceBergen Corp,Steven H. Collis,11323960,54472,208,Health Care,Health Care Distributors
AMETEK Inc.,David A. Zapico,10176064,86304,118,Industrials,Electrical Components & Equipment
Amgen Inc.,Robert A. Bradway,18555266,131375,141,Health Care,Biotechnology
Amphenol Corp,R. A. Norwitt,10110360,13197,766,Information Technology,Electronic Components
"Analog Devices, Inc.",na,-1,-1,-1,Information Technology,Semiconductors
ANSYS,Ajei S. Gopal,19591414,100100,196,Information Technology,Application Software
Anthem,Gail K. Boudreaux,15473139,62686,247,Health Care,Managed Health Care
Aon plc,Gregory C. Case,16181591,69784,232,Financials,Insurance Brokers
A.O. Smith Corp,na,-1,-1,-1,Industrials,Building Products
Apache Corporation,John J. Christmann IV,14287300,157761,91,Energy,Oil & Gas Exploration & Production
APARTMENT INVST & MGMT CO,Terry Considine,7305455,77292,95,Real Estate,Residential REITs
Apple Inc.,Tim Cook,11555466,57596,201,Information Technology,"Technology Hardware, Storage & Peripherals"
Applied Materials Inc.,Gary E. Dickerson,14072395,104500,135,Information Technology,Semiconductor Equipment
Aptiv PLC,Kevin P. Clark,15164533,7302,2077,Consumer Discretionary,Auto Parts & Equipment
Archer-Daniels-Midland Co,J. R. Luciano,18174409,63981,284,Consumer Staples,Agricultural Products
Arista Networks,Jayshree Ullal,1384171,151647,9,Information Technology,Communications Equipment
Arthur J. Gallagher & Co.,Pat Gallagher,8960616,56067,160,Financials,Insurance Brokers
