Company Name,CEO Name,CEO Pay,Median Employee Pay,CEO Pay Ratio,GICS Sector,GICS Sub-Industry,From Salary.com?
3M Company,Michael F. Roman,18321566,57494,319,Industrials,Industrial Conglomerates,yes
Abbott Laboratories,Miles D. White,22094981,80569,274,Health Care,Health Care Equipment,partial
AbbVie Inc.,Richard A. Gonzalez,21610598,155885,139,Health Care,Pharmaceuticals,yes
ABIOMED Inc,Michael R. Minogue,16612766,112393,148,Health Care,Health Care Equipment,yes
Accenture plc,Julie Sweet,6265339,50512,124,Information Technology,IT Consulting & Other Services,partial
Activision Blizzard,Robert A. Kotick,30122896,94308,319,Communication Services,Interactive Home Entertainment,yes
Adobe Inc.,Shantanu Narayen,39145631,147115,266,Information Technology,Application Software,yes
Advanced Micro Devices Inc,Lisa T. Su,58534288,96874,604,Information Technology,Semiconductors,yes
Advance Auto Parts,Thomas R. Greco,7691513,19463,395,Consumer Discretionary,Automotive Retail,yes
AES Corp,Andrés Gluski,10827886,61975,175,Utilities,Independent Power Producers & Energy Traders,yes
AFLAC Inc,Daniel P. Amos,14108852,56371,250,Financials,Life & Health Insurance,yes
Agilent Technologies Inc,Michael R. McMullen,12520566,70014,179,Health Care,Health Care Equipment,yes
Air Products & Chemicals Inc,Seifi Ghasemi,17031957,61035,279,Materials,Industrial Gases,yes
Akamai Technologies Inc,Tom Leighton,10937601,117276,93,Information Technology,Internet Services & Infrastructure,yes
Alaska Air Group Inc,Bradley D. Tilden,5533320,64528,86,Industrials,Airlines,yes
Albemarle Corp,Luther C. Kissam IV,8521584,77782,110,Materials,Specialty Chemicals,yes
Alexandria Real Estate Equities,Stephen A. Richardson,8246749,155000,53,Real Estate,Office REITs,partial
Alexion Pharmaceuticals,Ludwig Hantson,18947984,237151,80,Health Care,Biotechnology,yes
Align Technology,Joseph M. Hogan,18269139,13756,1328,Health Care,Health Care Supplies,yes
Allegion,D. D. Petratis,7586780,45460,167,Industrials,Building Products,yes
Alliant Energy Corp,John O. Larsen,7765384,138044,56,Utilities,Electric Utilities,yes
Allstate Corp,Thomas J. Wilson,19615696,61860,317,Financials,Property & Casualty Insurance,yes
Alphabet Inc.,Sundar Pichai,280621552,258708,1085,Communication Services,Interactive Media & Services,yes
Altria Group Inc,Howard A. Willard III,15439987,142246,109,Consumer Staples,Tobacco,yes
Amazon.com Inc.,Jeffrey P. Bezos,1681840,28848,58,Consumer Discretionary,Internet & Direct Marketing Retail,yes
Amcor plc,Ronald Delia,15166633,38148,398,Materials,Paper Packaging,yes
Ameren Corp,Warner L. Baxter,9718998,147127,66,Utilities,Multi-Utilities,yes
American Airlines Group,Doug Parker,11571714,61143,189,Industrials,Airlines,yes
American Electric Power,Nicholas K. Akins,14492436,132611,109,Utilities,Electric Utilities,yes
American Express Co,S. J. Squeri,23796002,64803,367,Financials,Consumer Finance,yes
American International Group,Brian Duperreault,19369637,67403,287,Financials,Property & Casualty Insurance,yes
American Tower Corp.,James D. Taiclet,18095288,62745,288,Real Estate,Specialized REITs,yes
American Water Works Company Inc,Susan N. Story,4983114,83599,60,Utilities,Water Utilities,yes
Ameriprise Financial,James M. Cracchiolo,106428,14242,7,Financials,Asset Management & Custody Banks,yes
AmerisourceBergen Corp,Steven H. Collis,11323960,54472,208,Health Care,Health Care Distributors,yes
AMETEK Inc.,David A. Zapico,10176064,86304,118,Industrials,Electrical Components & Equipment,yes
Amgen Inc.,Robert A. Bradway,18555266,131375,141,Health Care,Biotechnology,yes
Amphenol Corp,R. A. Norwitt,10110360,13197,766,Information Technology,Electronic Components,yes
"Analog Devices, Inc.",Vincent Roche,11948434,62277,192,Information Technology,Semiconductors,yes
ANSYS,Ajei S. Gopal,19591414,100100,196,Information Technology,Application Software,yes
Anthem,Gail K. Boudreaux,15473139,62686,247,Health Care,Managed Health Care,yes
Aon plc,Gregory C. Case,16181591,69784,232,Financials,Insurance Brokers,yes
A.O. Smith Corp,Kevin J. Wheeler,3808438,21337,178,Industrials,Building Products,yes
Apache Corporation,John J. Christmann IV,14287300,157761,91,Energy,Oil & Gas Exploration & Production,yes
APARTMENT INVST & MGMT CO,Terry Considine,7305455,77292,95,Real Estate,Residential REITs,yes
Apple Inc.,Tim Cook,11555466,57596,201,Information Technology,"Technology Hardware, Storage & Peripherals",yes
Applied Materials Inc.,Gary E. Dickerson,14072395,104500,135,Information Technology,Semiconductor Equipment,yes
Aptiv PLC,Kevin P. Clark,15164533,7302,2077,Consumer Discretionary,Auto Parts & Equipment,yes
Archer-Daniels-Midland Co,J. R. Luciano,18174409,63981,284,Consumer Staples,Agricultural Products,yes
Arista Networks,Jayshree Ullal,1384171,151647,9,Information Technology,Communications Equipment,yes
Arthur J. Gallagher & Co.,Pat Gallagher,8960616,56067,160,Financials,Insurance Brokers,yes
Assurant,Alan B. Colberg,10155682,43368,234,Financials,Multi-line Insurance,yes
AT&T Inc.,R. Stephenson,32032925,98630,325,Communication Services,Integrated Telecommunication Services,yes
Atmos Energy,Michael E. Haefner,10395993,84516,123,Utilities,Gas Utilities,yes
Autodesk Inc.,Andrew Anagnost,11569657,114999,101,Information Technology,Application Software,yes
Automatic Data Processing,Carlos A. Rodriguez,19000187,63225,301,Information Technology,Internet Services & Infrastructure,yes
AutoZone Inc,William C. Rhodes III,8617562,27581,312,Consumer Discretionary,Specialty Stores,yes
AvalonBay Communities,Timothy Naughton,10921362,70917,154,Real Estate,Residential REITs,yes
Avery Dennison Corp,Mitchell R. Butier,8495032,12278,692,Materials,Paper Packaging,yes
Baker Hughes Co,Lorenzo Simonelli,14922621,79242,188,Energy,Oil & Gas Equipment & Services,yes
Ball Corp,John A. Hayes,11855919,93903,126,Materials,Metal & Glass Containers,yes
Bank of America Corp,Brian T. Moynihan,26049804,94256,276,Financials,Diversified Banks,yes
The Bank of New York Mellon,"THOMAS P. ""Todd"" GIBBONS",13437888,63202,213,Financials,Asset Management & Custody Banks,yes
Baxter International Inc.,JosÃ© E. Almeida,13913821,43131,323,Health Care,Health Care Equipment,yes
Becton Dickinson,Vincent A. Forlenza,16014633,42219,379,Health Care,Health Care Equipment,yes
Berkshire Hathaway,Warren E. Buffett,374773,65740,6,Financials,Multi-Sector Holdings,yes
Best Buy Co. Inc.,Hubert Joly,17382486,28500,610,Consumer Discretionary,Computer & Electronics Retail,yes
Bio-Rad Laboratories,Norman Schwartz,7639414,66072,116,Health Care,Life Sciences Tools & Services,yes
Biogen Inc.,Michel Vounatsos,16168646,170521,95,Health Care,Biotechnology,yes
BlackRock,Laurence D. Fink,26543344,136313,195,Financials,Asset Management & Custody Banks,yes
Boeing Company,Dennis A. Muilenburg,11460040,158869,72,Industrials,Aerospace & Defense,partial
Booking Holdings Inc,Glenn D. Fogel,20459184,50937,402,Consumer Discretionary,Internet & Direct Marketing Retail,yes
BorgWarner,FrÃ©dÃ©ric B. Lissalde,13947029,44389,314,Consumer Discretionary,Auto Parts & Equipment,yes
Boston Properties,Owen D. Thomas,11917600,115266,103,Real Estate,Office REITs,yes
Boston Scientific,Michael F. Mahoney,15764140,65630,240,Health Care,Health Care Equipment,yes
Bristol-Myers Squibb,Giovanni Caforio M.D.,19379755,112174,173,Health Care,Health Care Distributors,yes
Broadcom Inc.,Hock E. Tan,26947598,168268,160,Information Technology,Semiconductors,yes
Broadridge Financial Solutions,Timothy C. Gokey,9164315,71994,127,Information Technology,Data Processing & Outsourced Services,yes
Brown-Forman Corp.,Lawson E. Whiting,6196407,58120,107,Consumer Staples,Distillers & Vintners,yes
C. H. Robinson Worldwide,John P. Wiehoff,8558856,63270,135,Industrials,Air Freight & Logistics,yes
Cabot Oil & Gas,Dan O. Dinges,13830926,74070,187,Energy,Oil & Gas Exploration & Production,yes
Cadence Design Systems,Lip-Bu Tan,19146556,100773,190,Information Technology,Application Software,yes
Campbell Soup,Mark A. Clouse,8491078,60357,141,Consumer Staples,Packaged Foods & Meats,yes
Capital One Financial,Richard D. Fairbank,7705792,68780,112,Financials,Consumer Finance,yes
Cardinal Health Inc.,Michael C. Kaufmann,15584454,57261,272,Health Care,Health Care Distributors,yes
Carmax Inc,William D. Nash,9400666,42691,220,Consumer Discretionary,Specialty Stores,yes
Carnival Corp.,Arnold W. Donald,11149514,15429,723,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",yes
Carrier Global,DAVID L. GITLIN,6770069,86622,78,Industrials,Building Products,no
Catalent,John Chiminski,9166195,54921,167,Health Care,Pharmaceuticals,yes
Caterpillar Inc.,D. James Umpleby III,34519129,65132,530,Industrials,Construction Machinery & Heavy Trucks,yes
Cboe Global Markets,Edward T. Tilly,8212785,166086,49,Financials,Financial Exchanges & Data,yes
CBRE Group,Robert E. Sulentic,10347557,65849,157,Real Estate,Real Estate Services,yes
CDW,Christine A. Leahy,6191797,93452,66,Information Technology,Technology Distributors,yes
Celanese,Lori J. Ryerkerk,8001982,82366,97,Materials,Specialty Chemicals,yes
Centene Corporation,Michael F. Neidorff,26448425,68987,383,Health Care,Managed Health Care,yes
CenterPoint Energy,Scott M. Prochazka,7724121,102957,75,Utilities,Multi-Utilities,yes
Cerner,Brent Shafer,9798716,64784,151,Health Care,Health Care Technology,yes
CF Industries Holdings Inc,W. Anthony Will,7758005,107901,72,Materials,Fertilizers & Agricultural Chemicals,yes
Charles Schwab Corporation,Walter W. Bettinger II,15627607,104281,150,Financials,Investment Banking & Brokerage,yes
Charter Communications,Thomas M. Rutledge,8743601,57625,152,Communication Services,Cable & Satellite,yes
Chevron Corp.,M. K. Wirth,33070662,140063,236,Energy,Integrated Oil & Gas,yes
Chipotle Mexican Grill,BRIAN NICCOL,336000000,13779,24385,Consumer Discretionary,Restaurants,yes
Chubb Limited,Evan G. Greenberg,20357484,64340,316,Financials,Property & Casualty Insurance,yes
Church & Dwight,Matthew T. Farrell,8985122,65894,136,Consumer Staples,Household Products,yes
CIGNA Corp.,David M. Cordani,19303032,62946,307,Health Care,Managed Health Care,yes
Cincinnati Financial,Steven J. Johnston,5528654,96112,58,Financials,Property & Casualty Insurance,yes
Cintas Corporation,Scott D. Farmer,6698520,55712,120,Industrials,Diversified Support Services,yes
Cisco Systems,Charles H. Robbins,25829833,142593,181,Information Technology,Communications Equipment,yes
Citigroup Inc.,Michael Corbat,25521414,52988,482,Financials,Diversified Banks,yes
Citizens Financial Group,Bruce Van Saun,9898442,66497,149,Financials,Regional Banks,yes
Citrix Systems,David J. Henshall,19253101,170433,113,Information Technology,Application Software,yes
