Company Name,CEO Name,CEO Pay,Median Employee Pay,CEO Pay Ratio
3M Company,Michael F. Roman,18321566,57494,319
Abbott Laboratories,na,-1,-1,-1
AbbVie Inc.,Richard A. Gonzalez,21610598,155885,139
ABIOMED Inc,Michael R. Minogue,16612766,112393,148
Accenture plc,na,-1,-1,-1
Activision Blizzard,Robert A. Kotick,30122896,94308,319
Adobe Inc.,Shantanu Narayen,39145631,147115,266
Advanced Micro Devices Inc,Lisa T. Su,58534288,96874,604
Advance Auto Parts,Thomas R. Greco,7691513,19463,395
AES Corp,na,-1,-1,-1
AFLAC Inc,Daniel P. Amos,14108852,56371,250
Agilent Technologies Inc,Michael R. McMullen,12520566,70014,179
Air Products & Chemicals Inc,Seifi Ghasemi,17031957,61035,279
Akamai Technologies Inc,Tom Leighton,10937601,117276,93
Alaska Air Group Inc,Bradley D. Tilden,5533320,64528,86
Albemarle Corp,Luther C. Kissam IV,8521584,77782,110
Alexandria Real Estate Equities,na,-1,-1,-1
Alexion Pharmaceuticals,Ludwig Hantson,18947984,237151,80
Align Technology,Joseph M. Hogan,18269139,13756,1328
Allegion,D. D. Petratis,7586780,45460,167
Alliant Energy Corp,John O. Larsen,7765384,138044,56
Allstate Corp,Thomas J. Wilson,19615696,61860,317
Alphabet Inc.,Sundar Pichai,280621552,258708,1085
Altria Group Inc,Howard A. Willard III,15439987,142246,109
Amazon.com Inc.,Jeffrey P. Bezos,1681840,28848,58
Amcor plc,na,-1,-1,-1
Ameren Corp,Warner L. Baxter,9718998,147127,66
American Airlines Group,Doug Parker,11571714,61143,189
American Electric Power,Nicholas K. Akins,14492436,132611,109
American Express Co,S. J. Squeri,23796002,64803,367
American International Group,Brian Duperreault,19369637,67403,287
American Tower Corp.,na,-1,-1,-1
American Water Works Company Inc,Susan N. Story,4983114,83599,60
Ameriprise Financial,James M. Cracchiolo,106428,14242,7
AmerisourceBergen Corp,Steven H. Collis,11323960,54472,208
AMETEK Inc.,David A. Zapico,10176064,86304,118
Amgen Inc.,Robert A. Bradway,18555266,131375,141
Amphenol Corp,R. A. Norwitt,10110360,13197,766
"Analog Devices, Inc.",na,-1,-1,-1
ANSYS,Ajei S. Gopal,19591414,100100,196
Anthem,Gail K. Boudreaux,15473139,62686,247
Aon plc,Gregory C. Case,16181591,69784,232
A.O. Smith Corp,na,-1,-1,-1
Apache Corporation,John J. Christmann IV,14287300,157761,91
APARTMENT INVST & MGMT CO,Terry Considine,7305455,77292,95
Apple Inc.,Tim Cook,11555466,57596,201
Applied Materials Inc.,Gary E. Dickerson,14072395,104500,135
Aptiv PLC,Kevin P. Clark,15164533,7302,2077
Archer-Daniels-Midland Co,J. R. Luciano,18174409,63981,284
Arista Networks,Jayshree Ullal,1384171,151647,9
Arthur J. Gallagher & Co.,Pat Gallagher,8960616,56067,160
Assurant,Alan B. Colberg,10155682,43368,234
AT&T Inc.,R. Stephenson,32032925,98630,325
Atmos Energy,Michael E. Haefner,10395993,84516,123
Autodesk Inc.,Andrew Anagnost,11569657,114999,101
Automatic Data Processing,Carlos A. Rodriguez,19000187,63225,301
AutoZone Inc,William C. Rhodes III,8617562,27581,312
AvalonBay Communities,Timothy Naughton,10921362,70917,154
Avery Dennison Corp,Mitchell R. Butier,8495032,12278,692
Baker Hughes Co,na,-1,-1,-1
Ball Corp,John A. Hayes,11855919,93903,126
Bank of America Corp,Brian T. Moynihan,26049804,94256,276
The Bank of New York Mellon,na,-1,-1,-1
Baxter International Inc.,José E. Almeida,13913821,43131,323
Becton Dickinson,Vincent A. Forlenza,16014633,42219,379
Berkshire Hathaway,Warren E. Buffett,374773,65740,6
Best Buy Co. Inc.,Hubert Joly,17382486,28500,610
Bio-Rad Laboratories,Norman Schwartz,7639414,66072,116
Biogen Inc.,Michel Vounatsos,16168646,170521,95
BlackRock,Laurence D. Fink,26543344,136313,195
Boeing Company,na,-1,-1,-1
Booking Holdings Inc,Glenn D. Fogel,20459184,50937,402
BorgWarner,Frédéric B. Lissalde,13947029,44389,314
Boston Properties,Owen D. Thomas,11917600,115266,103
Boston Scientific,Michael F. Mahoney,15764140,65630,240
Bristol-Myers Squibb,Giovanni Caforio M.D.,19379755,112174,173
Broadcom Inc.,Hock E. Tan,26947598,168268,160
Broadridge Financial Solutions,na,-1,-1,-1
Brown-Forman Corp.,Lawson E. Whiting,6196407,58120,107
C. H. Robinson Worldwide,John P. Wiehoff,8558856,63270,135
Cabot Oil & Gas,Dan O. Dinges,13830926,74070,187
Cadence Design Systems,Lip-Bu Tan,19146556,100773,190
Campbell Soup,Mark A. Clouse,8491078,60357,141
Capital One Financial,Richard D. Fairbank,7705792,68780,112
Cardinal Health Inc.,Michael C. Kaufmann,15584454,57261,272
Carmax Inc,William D. Nash,9400666,42691,220
Carnival Corp.,na,-1,-1,-1
Carrier Global,na,-1,-1,-1
Catalent,John Chiminski,9166195,54921,167
Caterpillar Inc.,D. James Umpleby III,34519129,65132,530
Cboe Global Markets,Edward T. Tilly,8212785,166086,49
CBRE Group,Robert E. Sulentic,10347557,65849,157
CDW,Christine A. Leahy,6191797,93452,66
Celanese,Lori J. Ryerkerk,8001982,82366,97
Centene Corporation,Michael F. Neidorff,26448425,68987,383
CenterPoint Energy,Scott M. Prochazka,7724121,102957,75
Cerner,Brent Shafer,9798716,64784,151
CF Industries Holdings Inc,W. Anthony Will,7758005,107901,72
Charles Schwab Corporation,na,-1,-1,-1
Charter Communications,na,-1,-1,-1
Chevron Corp.,M. K. Wirth,33070662,140063,236
Chipotle Mexican Grill,BRIAN NICCOL,336000000,13779,24385
Chubb Limited,na,-1,-1,-1
Church & Dwight,Matthew T. Farrell,8985122,65894,136
CIGNA Corp.,David M. Cordani,19303032,62946,307
Cincinnati Financial,Steven J. Johnston,5528654,96112,58
Cintas Corporation,Scott D. Farmer,6698520,55712,120
Cisco Systems,Charles H. Robbins,25829833,142593,181
Citigroup Inc.,Michael Corbat,25521414,52988,482
Citizens Financial Group,Bruce Van Saun,9898442,66497,149
Citrix Systems,David J. Henshall,19253101,170433,113
The Clorox Company,na,-1,-1,-1
CME Group Inc.,Terrence A. Duffy,11867214,145478,82
CMS Energy,Patricia K. Poppe,8986702,122783,73
Coca-Cola Company,James Quincey,18701149,11285,1657
Cognizant Technology Solutions,Brian Humphries,16503792,32084,514
Colgate-Palmolive,Ian M. Cook,11551328,24513,471
Comcast Corp.,Brian L. Roberts,35041029,82205,426
Comerica Inc.,Curtis C. Farmer,14632651,85981,170
Conagra Brands,Sean Connolly,14392748,45590,316
Concho Resources,Timothy A. Leach,12980443,157850,82
ConocoPhillips,R. M. Lance,30381543,186334,163
Consolidated Edison,John McAvoy,15345285,215556,71
Constellation Brands,Robert Sands,10312778,53851,192
The Cooper Companies,na,-1,-1,-1
Copart Inc,A. Jayson Adair,156315,35360,4
Corning Inc.,Wendell P. Weeks,14283654,49121,291
Corteva,James C. Collins Jr.,11357053,80757,141
Costco Wholesale Corp.,W. Craig Jelinek,8016200,47312,169
Crown Castle International Corp.,Jay A. Brown,9025526,111866,81
CSX Corp.,James M. Foote,15537181,107632,144
Cummins Inc.,N. T. Linebarger,25116751,73480,342
CVS Health,Larry J. Merlo,21953040,35529,618
D. R. Horton,David V. Auld,14377638,86531,166
Danaher Corp.,Thomas P. Joyce Jr.,18193200,74672,244
Darden Restaurants,Eugene I. Lee Jr.,10710578,18175,589
DaVita Inc.,Kent J. Thiry,32031175,60889,526
Deere & Co.,Samuel R. Allen,21697885,80267,270
Delta Air Lines Inc.,Edward H. Bastian,17325379,118198,147
Dentsply Sirona,Donald M. Casey Jr.,11366243,50861,223
Devon Energy,David A. Hager,12500000,158000,79
